position_id,fen,engine,best_move,evaluation_cp,time_taken,nodes,depth_reached
1,r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,RubiChess,d2d3,20,0.22342419624328613,402081,15
1,r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,Stockfish,e1g1,29,0.32854318618774414,329608,15
2,rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 4,RubiChess,f3g5,114,0.042140960693359375,72339,15
2,rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 4,Stockfish,f3g5,111,0.08587980270385742,78146,15
3,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 4 4,RubiChess,c2c3,18,0.1054995059967041,160355,15
3,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 4 4,Stockfish,c2c3,21,0.12868785858154297,134830,15
4,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,RubiChess,e4e5,57,0.054688453674316406,104104,15
4,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,Stockfish,e4e5,82,0.11491012573242188,112165,15
5,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,RubiChess,c1f4,-22,0.16876506805419922,288384,15
5,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,Stockfish,e2e3,-25,0.14872384071350098,132087,15
6,r4rk1/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/3P1N2/PPP1NPPP/R2Q1RK1 w - - 0 1,RubiChess,e2c3,10,0.09974360466003418,175206,15
6,r4rk1/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/3P1N2/PPP1NPPP/R2Q1RK1 w - - 0 1,Stockfish,e2g3,-18,0.23578190803527832,258147,15
7,r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/3P1N2/PPP1NPPP/R1BQ1RK1 w - - 0 1,RubiChess,c2c3,33,0.08559083938598633,149945,15
7,r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/3P1N2/PPP1NPPP/R1BQ1RK1 w - - 0 1,Stockfish,c2c3,42,0.2020728588104248,186139,15
8,r2qkb1r/pb2nppp/1pn1p3/3pP3/3P4/2N2N2/PPP1BPPP/R1BQK2R w KQkq - 0 1,RubiChess,h2h4,256,0.12296938896179199,205662,15
8,r2qkb1r/pb2nppp/1pn1p3/3pP3/3P4/2N2N2/PPP1BPPP/R1BQK2R w KQkq - 0 1,Stockfish,e2d3,243,0.09950923919677734,82343,15
9,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 4 4,RubiChess,b1c3,-19,0.08288097381591797,126391,15
9,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 4 4,Stockfish,d2d3,-36,0.10010743141174316,88607,15
10,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq - 0 5,RubiChess,a7a6,-19,0.10265326499938965,162664,15
10,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq - 0 5,Stockfish,d7d6,-13,0.06071805953979492,59322,15
11,r2qkb1r/ppp2ppp/2np1n2/4p3/2BPP1b1/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 1,RubiChess,c4b5,60,0.0999906063079834,153149,15
